date,funding_rate,long_liquidations,short_liquidations,open_interest,long_short_ratio,etf_flow
2024-02-05,0.010228,0.0,0.0,18348458935.0,1.547,68100000.0
2024-02-06,0.009797666666666668,0.0,0.0,18885352551.0,1.782,33600000.0
2024-02-07,0.009850333333333334,0.0,0.0,19043561993.0,1.251,146000000.0
2024-02-08,0.006168666666666666,0.0,0.0,20107128266.0,1.046,405000000.0
2024-02-09,0.010707,0.0,0.0,21126957555.0,0.807,541500000.0
2024-02-10,0.010263666666666666,0.0,0.0,21621415614.0,0.721,
2024-02-11,0.012618333333333334,0.0,0.0,22453150347.0,0.649,
2024-02-12,0.013805,0.0,0.0,23045767390.0,0.679,493400000.0
2024-02-13,0.011066666666666667,0.0,0.0,24368338210.0,0.609,636300000.0
2024-02-14,0.013204,0.0,0.0,23934953156.0,0.792,339700000.0
2024-02-15,0.013489666666666665,0.0,0.0,25217894694.0,0.588,477400000.0
2024-02-16,0.014509333333333332,0.0,0.0,25163747010.0,0.691,330300000.0
2024-02-17,0.013988333333333334,0.0,0.0,25181050282.0,0.671,
2024-02-18,0.017845333333333335,0.0,0.0,25119085665.0,0.759,
2024-02-19,0.015965,0.0,0.0,25045306856.0,0.73,0.0
2024-02-20,0.013656000000000001,0.0,0.0,25275304086.0,0.799,135600000.0
2024-02-21,0.011746,0.0,0.0,25070552318.0,0.789,-35600000.0
2024-02-22,0.015116333333333334,0.0,0.0,24948680480.0,1.02,251400000.0
2024-02-23,0.010566333333333332,0.0,0.0,24566591317.0,0.964,232500000.0
2024-02-24,0.014328,0.0,0.0,24561165826.0,1.186,
2024-02-25,0.017988333333333332,0.0,0.0,24851562141.0,0.989,
2024-02-26,0.019758,0.0,0.0,24730301497.0,0.936,519900000.0
2024-02-27,0.04096366666666667,0.0,0.0,26194817812.0,0.68,576900000.0
2024-02-28,0.046731,0.0,0.0,27024556560.0,0.756,673400000.0
2024-02-29,0.062172666666666675,0.0,0.0,28248068705.0,0.998,92300000.0
2024-03-01,0.043766,0.0,0.0,27333883353.0,1.153,-139600000.0
2024-03-02,0.048895,0.0,0.0,28343430184.0,1.071,
2024-03-03,0.04967366666666667,0.0,0.0,28618600040.0,1.293,
2024-03-04,0.06082166666666666,0.0,0.0,29853623953.0,1.158,562700000.0
2024-03-05,0.07154866666666666,0.0,0.0,33451048816.0,1.113,648300000.0
2024-03-06,0.037005,0.0,0.0,32474758892.0,1.616,332000000.0
2024-03-07,0.037650666666666666,0.0,0.0,31966927016.0,1.234,472500000.0
2024-03-08,0.039742,0.0,0.0,32660159683.0,1.196,223000000.0
2024-03-09,0.027745333333333334,0.0,0.0,33190703038.0,1.213,
2024-03-10,0.05377033333333334,0.0,0.0,33504694688.0,1.239,
2024-03-11,0.07009133333333332,0.0,0.0,34729929216.0,1.089,505400000.0
2024-03-12,0.04629366666666667,0.0,0.0,37113612822.0,0.887,1045000000.0
2024-03-13,0.040711333333333335,0.0,0.0,37221773142.0,1.341,683700000.0
